docid,language,num_cells,num_code_cells,num_md_cells,len_md_text
NB_ed8429b8fafae051109e0919c17b7cbc71f4ecc6c5494fcf5ae33ed9a6301b57,others,11,4,7,136
NB_ee8955aabf7cf7b7f4fda513f1f8b4290c16ffe78c7663a162459c0d0e019335,python,8,7,1,1
NB_eef4ceb0dfa1cc700c68e3adc93761079155430850e1ad0e1ed80462c28b27a8,python,58,47,11,18
NB_51833b25db158f2017eab3c360945a445c7ac3dda36057cabf0e8a013903e948,python,8,8,0,0
NB_c19bc5350edeb30a71b4828ef62c1deead68876099761e81e2e12f64724aee1a,others,231,147,84,187
NB_d9f03640b8652da5a4dfa48e5f03bcd89982c6a6b433e1f119af957ee641d7e1,python,44,20,24,34
NB_c6a678932c113bbdaa44b3987a5d3ed482f996cc554c5cb11697d5a241e7768d,python,54,0,54,111
NB_9a0cb076d8d21c24a2e9c30918538cba37e137f995c88f20818be5a50c09671f,python,7,7,0,0
NB_220d71b6a19cd8d851a50226aca77b45f615ef59c74ba79de4eb57c8e52e9a03,python,16,14,2,5
NB_abd37b754c8fc282c4477fe24f89fea18c33b253a5ca42e12cb594c4de5b07c9,python,11,11,0,0
NB_863e99628729b4e9965c8ba87f46f89a04b3ebd02ffa08a9379ec101e4666891,python,9,5,4,34
NB_fe040ea0d31cffd3d795e3e5a69ae89624275a303924ca3fc59f4fde854af3c5,python,25,10,15,196
NB_10af02dfed02b638b6fdbd41549e0c4c03892dbbcef434d808d5d4aacc93ea46,others,27,27,0,0
NB_b16d3b4cd6d5704b70e7003da384533e158a55ffb3fee0495909d86875eef361,python,30,22,8,26
NB_b743439ec5470a35b3d96146b026106002cc185ea20765f5eaf2320268178272,python,31,28,3,3
NB_5b5364f18a36ee988a0835d8908321f5c9ff9ce6e97669d8fbd0015ac1ede029,python,73,43,30,274
NB_80cc50e1ad708408f54a920b7ccd1a84142a6a94b9ea4325f84333422623756a,python,11,11,0,0
NB_9904cbaada8b0e846a6a686a091d381aeed429fabef480ab15aa04e17e6b1d62,python,23,13,10,106
NB_b84e64a0ee7f885dcbfec1f0f2760ae45f56c3148f8c0c81a5bdd11e6eccef3e,python,7,7,0,0
NB_f9580089753e253bd9d643dd4708030a06d8e857c86ddfad01b01dc28da50638,python,18,14,4,4
NB_e81c4af2b6db887eaadb71b7c8ff624775c072d9e31add232cb69d5497f43e02,others,0,0,0,0
NB_89c5108ab77ad42e359208d69f775d10e2958e6dd632b12f5494529638a0f42b,python,14,9,5,13
NB_36446509fa5a184b4a404bbcfeeb7ae2e898243014d86454f3fcc80dc50e4284,python,38,19,19,120
NB_72e6a8e6e4c5bef2c67aeed1981bf3992f518e13ca0c6ff99f7c9b0e82a0c31e,python,23,13,10,101
